rank,subject,title
9.7,希望让人自由。,肖申克的救赎
9.7,希望让人自由。,霸王别姬
9.7,希望让人自由。,阿甘正传
9.7,希望让人自由。,泰坦尼克号
9.7,希望让人自由。,这个杀手不太冷
9.7,希望让人自由。,千与千寻
9.7,希望让人自由。,美丽人生
9.7,希望让人自由。,星际穿越
9.7,希望让人自由。,辛德勒的名单
9.7,希望让人自由。,盗梦空间
9.7,希望让人自由。,楚门的世界
9.7,希望让人自由。,忠犬八公的故事
9.7,希望让人自由。,海上钢琴师
9.7,希望让人自由。,三傻大闹宝莱坞
9.7,希望让人自由。,放牛班的春天
9.7,希望让人自由。,机器人总动员
9.7,希望让人自由。,疯狂动物城
9.7,希望让人自由。,无间道
9.7,希望让人自由。,控方证人
9.7,希望让人自由。,大话西游之大圣娶亲
9.7,希望让人自由。,熔炉
9.7,希望让人自由。,教父
9.7,希望让人自由。,触不可及
9.7,希望让人自由。,当幸福来敲门
9.7,希望让人自由。,末代皇帝
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,寻梦环游记
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,龙猫
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,怦然心动
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,活着
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,蝙蝠侠：黑暗骑士
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,哈利·波特与魔法石
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,指环王3：王者无敌
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,我不是药神
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,乱世佳人
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,飞屋环游记
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,素媛
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,哈尔的移动城堡
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,十二怒汉
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,何以为家
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,摔跤吧！爸爸
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,让子弹飞
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,猫鼠游戏
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,天空之城
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,鬼子来了
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,少年派的奇幻漂流
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,海蒂和爷爷
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,钢琴家
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,大话西游之月光宝盒
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,指环王2：双塔奇兵
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,闻香识女人
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,罗马假日
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,绿皮书
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,大闹天宫
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,天堂电影院
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,指环王1：护戒使者
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,黑客帝国
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,教父2
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,狮子王
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,辩护人
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,饮食男女
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,搏击俱乐部
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,本杰明·巴顿奇事
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,美丽心灵
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,穿条纹睡衣的男孩
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,窃听风暴
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,情书
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,两杆大烟枪
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,西西里的美丽传说
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,看不见的客人
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,音乐之声
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,阿凡达
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,拯救大兵瑞恩
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,哈利·波特与死亡圣器(下)
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,飞越疯人院
9.2,奔跑的孩子是天使。,小鞋子
9.2,奔跑的孩子是天使。,沉默的羔羊
9.2,奔跑的孩子是天使。,布达佩斯大饭店
9.2,奔跑的孩子是天使。,禁闭岛
9.2,奔跑的孩子是天使。,功夫
9.2,奔跑的孩子是天使。,蝴蝶效应
9.2,奔跑的孩子是天使。,致命魔术
9.2,奔跑的孩子是天使。,哈利·波特与阿兹卡班的囚徒
9.2,奔跑的孩子是天使。,心灵捕手
9.2,奔跑的孩子是天使。,超脱
9.2,奔跑的孩子是天使。,海豚湾
9.2,奔跑的孩子是天使。,低俗小说
9.2,奔跑的孩子是天使。,春光乍泄
9.2,奔跑的孩子是天使。,摩登时代
9.2,奔跑的孩子是天使。,美国往事
9.2,奔跑的孩子是天使。,喜剧之王
9.2,奔跑的孩子是天使。,致命ID
9.2,奔跑的孩子是天使。,杀人回忆
9.2,奔跑的孩子是天使。,七宗罪
9.2,奔跑的孩子是天使。,红辣椒
9.2,奔跑的孩子是天使。,加勒比海盗
9.2,奔跑的孩子是天使。,哈利·波特与密室
9.2,奔跑的孩子是天使。,一一
9.2,奔跑的孩子是天使。,狩猎
9.2,奔跑的孩子是天使。,唐伯虎点秋香
8.9,《我是山姆》的《美丽人生》。,7号房的礼物
8.9,《我是山姆》的《美丽人生》。,被嫌弃的松子的一生
8.9,《我是山姆》的《美丽人生》。,请以你的名字呼唤我
8.9,《我是山姆》的《美丽人生》。,蝙蝠侠：黑暗骑士崛起
8.9,《我是山姆》的《美丽人生》。,断背山
8.9,《我是山姆》的《美丽人生》。,剪刀手爱德华
8.9,《我是山姆》的《美丽人生》。,爱在黎明破晓前
8.9,《我是山姆》的《美丽人生》。,入殓师
8.9,《我是山姆》的《美丽人生》。,第六感
8.9,《我是山姆》的《美丽人生》。,重庆森林
8.9,《我是山姆》的《美丽人生》。,勇敢的心
8.9,《我是山姆》的《美丽人生》。,超能陆战队
8.9,《我是山姆》的《美丽人生》。,甜蜜蜜
8.9,《我是山姆》的《美丽人生》。,幽灵公主
8.9,《我是山姆》的《美丽人生》。,爱在日落黄昏时
8.9,《我是山姆》的《美丽人生》。,菊次郎的夏天
8.9,《我是山姆》的《美丽人生》。,借东西的小人阿莉埃蒂
8.9,《我是山姆》的《美丽人生》。,消失的爱人
8.9,《我是山姆》的《美丽人生》。,阳光灿烂的日子
8.9,《我是山姆》的《美丽人生》。,天使爱美丽
8.9,《我是山姆》的《美丽人生》。,完美的世界
8.9,《我是山姆》的《美丽人生》。,寄生虫
8.9,《我是山姆》的《美丽人生》。,小森林 夏秋篇
8.9,《我是山姆》的《美丽人生》。,无人知晓
8.9,《我是山姆》的《美丽人生》。,倩女幽魂
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,时空恋旅人
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,侧耳倾听
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,幸福终点站
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,未麻的部屋
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,小森林 冬春篇
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,驯龙高手
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,哈利·波特与火焰杯
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,一个叫欧维的男人决定去死
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,教父3
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,怪兽电力公司
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,萤火之森
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,傲慢与偏见
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,玩具总动员3
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,新世界
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,釜山行
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,被解救的姜戈
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,神偷奶爸
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,玛丽和马克思
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,告白
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,茶馆
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,哪吒闹海
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,大鱼
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,九品芝麻官
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,喜宴
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,色，戒
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,模仿游戏
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,头号玩家
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,射雕英雄传之东成西就
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,花样年华
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,我是山姆
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,阳光姐妹淘
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,头脑特工队
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,血战钢锯岭
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,七武士
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,恐怖直播
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,惊魂记
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,黑客帝国3：矩阵革命
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,你的名字。
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,电锯惊魂
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,三块广告牌
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,达拉斯买家俱乐部
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,疯狂原始人
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,心迷宫
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,谍影重重3
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,上帝之城
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,英雄本色
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,风之谷
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,纵横四海
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,卢旺达饭店
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,爱在午夜降临前
8.8,是枝裕和的家庭习作。,海街日记
8.8,是枝裕和的家庭习作。,绿里奇迹
8.8,是枝裕和的家庭习作。,记忆碎片
8.8,是枝裕和的家庭习作。,小丑
8.8,是枝裕和的家庭习作。,疯狂的石头
8.8,是枝裕和的家庭习作。,背靠背，脸对脸
8.8,是枝裕和的家庭习作。,雨中曲
8.8,是枝裕和的家庭习作。,岁月神偷
8.8,是枝裕和的家庭习作。,2001太空漫游
8.8,是枝裕和的家庭习作。,忠犬八公物语
8.8,是枝裕和的家庭习作。,心灵奇旅
8.8,是枝裕和的家庭习作。,荒蛮故事
8.8,是枝裕和的家庭习作。,无间道2
8.8,是枝裕和的家庭习作。,小偷家族
8.8,是枝裕和的家庭习作。,无敌破坏王
8.8,是枝裕和的家庭习作。,爆裂鼓手
8.8,是枝裕和的家庭习作。,冰川时代
8.8,是枝裕和的家庭习作。,恐怖游轮
8.8,是枝裕和的家庭习作。,贫民窟的百万富翁
8.8,是枝裕和的家庭习作。,东邪西毒
8.8,是枝裕和的家庭习作。,牯岭街少年杀人事件
8.8,是枝裕和的家庭习作。,魔女宅急便
8.8,是枝裕和的家庭习作。,遗愿清单
8.8,是枝裕和的家庭习作。,东京教父
8.8,是枝裕和的家庭习作。,大佛普拉斯
8.9,感情不分食草或者食肉。,你看起来好像很好吃
8.9,感情不分食草或者食肉。,真爱至上
8.9,感情不分食草或者食肉。,黑天鹅
8.9,感情不分食草或者食肉。,可可西里
8.9,感情不分食草或者食肉。,城市之光
8.9,感情不分食草或者食肉。,源代码
8.9,感情不分食草或者食肉。,海边的曼彻斯特
8.9,感情不分食草或者食肉。,雨人
8.9,感情不分食草或者食肉。,波西米亚狂想曲
8.9,感情不分食草或者食肉。,初恋这件小事
8.9,感情不分食草或者食肉。,恋恋笔记本
8.9,感情不分食草或者食肉。,人工智能
8.9,感情不分食草或者食肉。,青蛇
8.9,感情不分食草或者食肉。,虎口脱险
8.9,感情不分食草或者食肉。,终结者2：审判日
8.9,感情不分食草或者食肉。,疯狂的麦克斯4：狂暴之路
8.9,感情不分食草或者食肉。,末路狂花
8.9,感情不分食草或者食肉。,罗生门
8.9,感情不分食草或者食肉。,新龙门客栈
8.9,感情不分食草或者食肉。,千钧一发
8.9,感情不分食草或者食肉。,萤火虫之墓
8.9,感情不分食草或者食肉。,无耻混蛋
8.9,感情不分食草或者食肉。,崖上的波妞
8.9,感情不分食草或者食肉。,花束般的恋爱
8.9,感情不分食草或者食肉。,彗星来的那一夜
9.3,世界不完美，爱会有奇迹。,芙蓉镇
9.3,世界不完美，爱会有奇迹。,奇迹男孩
9.3,世界不完美，爱会有奇迹。,爱乐之城
9.3,世界不完美，爱会有奇迹。,二十二
9.3,世界不完美，爱会有奇迹。,黑客帝国2：重装上阵
9.3,世界不完美，爱会有奇迹。,哈利·波特与死亡圣器(上)
9.3,世界不完美，爱会有奇迹。,血钻
9.3,世界不完美，爱会有奇迹。,战争之王
9.3,世界不完美，爱会有奇迹。,步履不停
9.3,世界不完美，爱会有奇迹。,房间
9.3,世界不完美，爱会有奇迹。,火星救援
9.3,世界不完美，爱会有奇迹。,魂断蓝桥
9.3,世界不完美，爱会有奇迹。,千年女优
9.3,世界不完美，爱会有奇迹。,谍影重重2
9.3,世界不完美，爱会有奇迹。,白日梦想家
9.3,世界不完美，爱会有奇迹。,哈利·波特与凤凰社
9.3,世界不完美，爱会有奇迹。,弱点
9.3,世界不完美，爱会有奇迹。,阿飞正传
9.3,世界不完美，爱会有奇迹。,蜘蛛侠：平行宇宙
9.3,世界不完美，爱会有奇迹。,谍影重重
9.3,世界不完美，爱会有奇迹。,朗读者
9.3,世界不完美，爱会有奇迹。,燃情岁月
9.3,世界不完美，爱会有奇迹。,再次出发之纽约遇见你
9.3,世界不完美，爱会有奇迹。,香水
9.3,世界不完美，爱会有奇迹。,发条橙
